STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-01,0.00,50,60,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-02,0.19,51,54,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-03,0.00,52,53,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-04,0.30,55,62,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-05,0.00,52,58,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-06,0.02,48,56,42
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-07,0.00,51,58,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-08,0.00,53,58,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-09,0.00,51,61,42
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-10,0.00,51,58,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-11,0.00,52,61,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-12,0.00,53,58,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-13,0.00,56,68,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-14,0.00,56,69,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-15,0.00,54,63,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-16,0.00,57,67,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-17,0.00,56,74,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-18,0.00,60,74,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-19,0.00,62,66,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-20,0.00,55,67,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-21,0.00,52,58,42
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-22,0.07,52,55,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-23,0.00,52,57,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-24,0.15,51,53,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-25,0.00,49,54,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-26,0.72,47,52,39
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-27,0.77,51,55,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-28,0.57,51,54,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-29,0.13,49,57,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-30,0.00,51,58,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-01-31,0.00,55,61,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-01,0.35,55,65,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-02,0.18,57,61,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-03,0.00,52,59,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-04,0.00,53,62,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-05,0.00,52,67,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-06,0.00,53,67,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-07,0.00,53,67,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-08,0.00,52,58,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-09,0.00,54,60,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-10,0.00,54,62,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-11,0.43,53,57,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-12,0.00,55,60,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-13,0.05,55,60,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-14,0.01,53,58,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-15,0.14,56,59,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-16,0.00,53,58,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-17,0.00,52,64,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-18,0.00,52,65,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-19,0.03,56,60,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-20,0.06,54,60,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-21,0.00,53,64,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-22,0.00,56,72,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-23,0.00,59,76,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-24,0.00,57,71,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-25,0.00,60,66,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-26,0.00,54,61,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-27,0.00,52,61,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-02-28,0.00,55,69,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-01,0.00,55,69,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-02,0.00,55,65,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-03,0.00,55,64,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-04,0.00,53,63,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-05,0.21,55,65,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-06,0.01,55,58,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-07,0.00,52,60,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-08,0.00,53,59,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-09,0.20,53,60,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-10,0.47,50,56,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-11,0.09,49,59,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-12,0.00,52,65,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-13,0.00,53,56,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-14,0.17,53,58,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-15,0.03,50,55,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-16,0.00,50,57,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-17,0.00,49,56,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-18,0.16,53,58,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-19,0.01,56,61,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-20,0.03,54,58,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-21,0.00,52,61,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-22,0.00,53,61,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-23,0.00,55,66,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-03-24,0.00,62,69,51
